"measuring_program","date","time","station","sam_code","short_name","attribute","observable","category","count","life_stage","wet_mass","dry_mass","lab_comments","condition"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Actinopterygii","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Limnesiidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Collembola","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",3,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",2,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",1,"Adults","2.6999999999999247E-3","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",6,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-19,"09:40","STTD","","DRIFT","Drift Invertebrates","Hydroptilidae","Aquatic Insect",2,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Bivalvia","Aquatic Non-Insect",1,"N/A","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Truncatelloidea","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Elmidae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Emergent","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",1,"Nymphs","1.3000000000000789E-3","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Leptoceridae","Aquatic Insect",2,"Larvae","1.3999999999998458E-3","<0.001",NA,"N"
"YBFMP",2021-07-20,"09:18","SHR","","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",7,"N/A","1.2000000000003119E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",4,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Hygrobatidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Lebertiidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",5,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Lymnaeidae","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",3,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",6,"Larvae","1.2000000000003119E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Psychodidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",11,"Adults","1.1099999999999888E-2","3.9000000000002366E-3",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",4,"Adults","1.7000000000000348E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Sisyridae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Leptoceridae","Aquatic Insect",4,"Larvae","2.53000000000001E-2","8.90000000000013E-3",NA,"N"
"YBFMP",2021-08-03,"08:50","SHR","","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",3,"N/A","1.3000000000000789E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Actinopterygii","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Acari","Terrestrial Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",2,"N/A","3.0999999999998806E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hygrobatidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Limnesiidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Planorbidae","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Amnicolidae","Aquatic Non-Insect",3,"N/A","8.599999999999941E-3","4.3999999999999595E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",4,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hydraenidae","Aquatic Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Collembola","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",7,"Adults","4.9999999999998934E-3","1.1000000000001009E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Ceratopogonidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Ceratopogonidae","Aquatic Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",3,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",15,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",68,"Nymphs","4.2999999999997485E-3","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",23,"Adults","8.599999999999941E-3","2.2999999999999687E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",6,"Adults","1.7400000000000304E-2","4.5999999999999375E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Notonectidae","Aquatic Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",108,"Adults","2.5299999999999656E-2","5.7000000000000384E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",2,"Nymphs",NA,NA,NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hydropsychidae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hydroptilidae","Aquatic Insect",2,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hydroptilidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Leptoceridae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Gammaridae","Aquatic Non-Insect",5,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",24,"N/A","6.2999999999999723E-3","1.3000000000000789E-3",NA,"N"
"YBFMP",2021-08-03,"10:55","STTD","","DRIFT","Drift Invertebrates","Turbellaria","Aquatic Non-Insect",11,"N/A","1.9000000000000128E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Lebertiidae","Aquatic Non-Insect",3,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",7,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Leptoceridae","Aquatic Insect",4,"Larvae","3.6799999999999944E-2","1.4899999999999913E-2",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Corophiidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"07:55","SHR","","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",29,"N/A","7.3000000000003062E-3","2.4000000000001798E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Limnesiidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",9,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Physidae","Aquatic Non-Insect",2,"N/A","2.6000000000001577E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Planorbidae","Aquatic Non-Insect",5,"N/A","4.1999999999999815E-3","1.9000000000000128E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Truncatelloidea","Aquatic Non-Insect",5,"N/A","3.2000000000000917E-3","1.6000000000002679E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Adults","1.5000000000000568E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Diptera","Aquatic Insect",1,"Adults","2.0000000000002238E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Ceratopogonidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",16,"Larvae","1.1000000000001009E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Pupae","1.1999999999998678E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",7,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",9,"Adults","1.7000000000000348E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",1,"Adults","3.0000000000001137E-3","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Trichoptera","Aquatic Insect",1,"Adults","<0.001","<0.001",NA,"Y"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Leptoceridae","Aquatic Insect",1,"Pupae","5.9000000000000163E-3","1.1000000000001009E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Gammaridae","Aquatic Non-Insect",11,"N/A","9.3999999999998529E-3","1.3000000000000789E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",48,"N/A","1.6999999999999904E-2","3.5999999999996035E-3",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Ostracoda","Aquatic Non-Insect",3,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-17,"10:47","STTD","","DRIFT","Drift Invertebrates","Turbellaria","Aquatic Non-Insect",6,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-08-31,"08:05","SHR","","DRIFT","Drift Invertebrates","Hygrobatidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
