"measuring_program","date","time","station","sam_code","sample_id","short_name","attribute","observable","category","count","life_stage","wet_mass","dry_mass","lab_comments","condition"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Physidae","Aquatic Non-Insect",1,"N/A","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",2,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Neuroptera","Terrestrial Insect",1,"Larvae","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",2,"Nymphs","2.4000000000001798E-3","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Psocoptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Thysanoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Arrenuridae","Aquatic Non-Insect",1,"N/A","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",3,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Lymnaeidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",15,"Larvae","2.2999999999999687E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",4,"Adults","2.6000000000001577E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",6,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Aquatic Insect",2,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
